Date,Predicted_Price
2017-10-01,24.419218464492776
2017-10-02,24.119174936135362
2017-10-03,23.807040896335742
2017-10-04,23.699119628436975
2017-10-05,23.594233964948167
2017-10-06,23.69056721401765
2017-10-07,23.602833064637736
2017-10-08,23.01545464393199
2017-10-09,24.18502193589979
2017-10-10,23.85466049348017
2017-10-11,23.381298405103607
2017-10-12,23.632826129548487
2017-10-13,23.929494420709528
2017-10-14,23.629450892352114
2017-10-15,23.317316852552494
2017-10-16,23.209395584653727
2017-10-17,23.10450992116492
2017-10-18,23.200843170234403
2017-10-19,23.113109020854488
2017-10-20,22.52573060014874
2017-10-21,23.695297892116542
2017-10-22,23.364936449696923
2017-10-23,22.89157436132036
2017-10-24,23.14310208576524
2017-10-25,23.43977037692628
2017-10-26,23.139726848568866
2017-10-27,22.827592808769246
2017-10-28,22.71967154087048
2017-10-29,22.61478587738167
2017-10-30,22.711119126451155
2017-10-31,22.62338497707124
2017-11-01,22.036006556365493
2017-11-02,23.205573848333295
2017-11-03,22.875212405913672
2017-11-04,22.40185031753711
2017-11-05,22.65337804198199
2017-11-06,22.95004633314303
2017-11-07,22.65000280478562
2017-11-08,22.337868764986
2017-11-09,22.229947497087228
2017-11-10,22.125061833598423
2017-11-11,22.221395082667907
2017-11-12,22.13366093328799
2017-11-13,21.546282512582245
2017-11-14,22.715849804550047
2017-11-15,22.385488362130424
2017-11-16,21.912126273753863
2017-11-17,22.163653998198743
2017-11-18,22.460322289359784
2017-11-19,22.16027876100237
2017-11-20,21.84814472120275
2017-11-21,21.74022345330398
2017-11-22,21.63533778981517
2017-11-23,21.73167103888466
2017-11-24,21.643936889504744
2017-11-25,21.056558468798997
2017-11-26,22.2261257607668
2017-11-27,21.895764318347176
2017-11-28,21.422402229970615
2017-11-29,21.673929954415495
2017-11-30,21.970598245576536
2017-12-01,21.670554717219122
2017-12-02,21.358420677419502
2017-12-03,21.25049940952073
2017-12-04,21.145613746031923
2017-12-05,21.24194699510141
2017-12-06,21.154212845721496
2017-12-07,20.56683442501575
2017-12-08,21.73640171698355
2017-12-09,21.406040274563928
2017-12-10,20.932678186187363
2017-12-11,21.184205910632244
2017-12-12,21.480874201793288
2017-12-13,21.180830673435874
2017-12-14,20.868696633636254
2017-12-15,20.760775365737484
2017-12-16,20.655889702248675
2017-12-17,20.752222951318164
2017-12-18,20.664488801938248
2017-12-19,20.0771103812325
2017-12-20,21.246677673200303
2017-12-21,20.91631623078068
2017-12-22,20.442954142404115
2017-12-23,20.694481866848996
2017-12-24,20.99115015801004
2017-12-25,20.691106629652626
2017-12-26,20.378972589853007
2017-12-27,20.271051321954236
2017-12-28,20.166165658465427
2017-12-29,20.262498907534912
2017-12-30,20.174764758155
2017-12-31,19.587386337449253
